transaction_id,amount,historical_avg,amount_ratio,device_changed,location_changed,unusual_hour,velocity_1h,payment_method_changed,is_fraud
MLTXN0465,11958,3685,3.25,0,0,0,2,0,0
MLTXN0466,2107,3061,0.69,0,0,0,2,0,0
MLTXN0467,6962,2347,2.97,0,0,0,1,0,0
MLTXN0468,2337,2085,1.12,0,0,0,1,0,0
MLTXN0469,5714,4010,1.42,0,0,0,1,1,0
MLTXN0470,9471,827,11.45,0,1,1,8,1,1
MLTXN0471,65754,3433,19.15,1,1,1,7,0,1
MLTXN0472,4066,4948,0.82,0,0,0,1,0,0
MLTXN0473,11941,4845,2.46,0,0,0,1,0,0
MLTXN0474,7214,2497,2.89,0,0,0,1,0,0
MLTXN0475,43190,2816,15.34,1,1,1,6,0,1
MLTXN0476,1637,2077,0.79,0,1,0,1,0,0
MLTXN0477,7140,2226,3.21,0,0,0,1,0,0
MLTXN0478,15403,4065,3.79,0,0,0,1,0,0
MLTXN0479,9476,944,10.04,0,1,1,6,1,1
MLTXN0480,2132,3813,0.56,0,0,0,1,0,0
MLTXN0481,658,872,0.75,1,0,0,1,0,0
MLTXN0482,13797,4085,3.38,0,0,0,1,0,0
MLTXN0483,13514,4970,2.72,0,0,1,2,0,0
MLTXN0484,1444,591,2.44,0,0,0,1,1,0
MLTXN0485,9273,2996,3.1,0,0,0,2,0,0
MLTXN0486,6867,2007,3.42,0,0,0,2,1,0
MLTXN0487,12109,4996,2.42,0,0,0,1,0,0
MLTXN0488,9147,3210,2.85,0,0,0,1,0,0
MLTXN0489,5006,3189,1.57,0,0,0,1,0,0
MLTXN0490,1752,539,3.25,0,0,0,1,0,0
MLTXN0491,6818,3216,2.12,0,0,0,1,0,0
MLTXN0492,2770,2798,0.99,0,0,0,1,0,0
MLTXN0493,1767,652,2.71,0,0,0,1,0,0
MLTXN0494,10524,2634,4.0,0,0,0,1,0,0
MLTXN0495,43310,2883,15.02,0,1,0,4,1,1
MLTXN0496,1842,1858,0.99,0,0,0,2,0,0
MLTXN0497,2861,4460,0.64,0,0,0,1,0,0
MLTXN0498,8367,4742,1.76,0,0,0,3,0,0
MLTXN0499,6952,4771,1.46,0,0,0,1,0,0
MLTXN0500,2066,1137,1.82,1,0,0,2,0,0
